sku,title,description,price_usd,quantity,who_made,when_made,is_supply,category_path,section,tags,materials,photo1,photo2,photo3,photo4,photo5,photo6,photo7
kandil-lamp,"Kandil Brass Column Table Lamp — Simple Pierced Motif","Kandil is the oil lamp of the medersa. A simpler brass column, pierced in a single repeating motif. Linen shade. Hand-hammered brass with lacquered finish. 8in diameter, 22in tall.",595.00,4,i_did,made_to_order,false,"Home & Living > Lighting > Lamps > Table Lamps",Lamps,"moroccan table lamp,brass table lamp,column lamp,linen shade,bedside lamp,handmade lamp,moroccan lighting,brass lamp,bohemian lamp,artisan lighting,maison izem,marrakech,reading lamp","Hand-hammered brass,Linen,Lacquered finish",https://www.maisonizem.com/products/pdp-white/kandil-lamp-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/kandil-lamp-etsy-1x1.webp,https://www.maisonizem.com/products/scale/kandil-lamp-scale.webp,https://www.maisonizem.com/products/lit/kandil-lamp-lit.webp,https://www.maisonizem.com/products/macro/kandil-lamp-macro.webp,https://www.maisonizem.com/products/alt-white/kandil-lamp-alt-white.webp,https://www.maisonizem.com/products/kandil-lamp.webp
diya-sconce,"Diya Copper Wall Sconce — Hand-Raised Oval Reflector","Oval copper reflector with a small cupped flame holder. Diya is the lamp of the household altar. Hand-raised, soft hammer marks visible. Hand-raised copper with brass cup. 7in wide, 13in tall, 6in deep.",385.00,6,i_did,made_to_order,false,"Home & Living > Lighting > Wall Lights > Wall Sconces",Sconces,"moroccan sconce,copper sconce,wall sconce,hand-raised copper,candle sconce,handmade sconce,moroccan lighting,bohemian sconce,artisan lighting,maison izem,marrakech,wall light,brass sconce","Hand-raised copper,Brass cup",https://www.maisonizem.com/products/pdp-white/diya-sconce-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/diya-sconce-etsy-1x1.webp,https://www.maisonizem.com/products/scale/diya-sconce-scale.webp,https://www.maisonizem.com/products/lit/diya-sconce-lit.webp,https://www.maisonizem.com/products/macro/diya-sconce-macro.webp,https://www.maisonizem.com/products/alt-white/diya-sconce-alt-white.webp,https://www.maisonizem.com/products/diya-sconce.webp
manara-sconce,"Manara Minaret Brass Wall Sconce — Pierced Column","Manara means minaret. Tall pierced brass column mounted on a flat plate. Throws a slow vertical pattern up the wall. Hand-hammered brass with lacquered finish. 6in wide, 18in tall, 5in deep.",495.00,5,i_did,made_to_order,false,"Home & Living > Lighting > Wall Lights > Wall Sconces",Sconces,"moroccan sconce,brass sconce,wall sconce,pierced brass,minaret,handmade sconce,moroccan lighting,bohemian sconce,artisan lighting,maison izem,marrakech,wall light,vertical sconce","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/manara-sconce-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/manara-sconce-etsy-1x1.webp,https://www.maisonizem.com/products/scale/manara-sconce-scale.webp,https://www.maisonizem.com/products/lit/manara-sconce-lit.webp,https://www.maisonizem.com/products/macro/manara-sconce-macro.webp,https://www.maisonizem.com/products/alt-white/manara-sconce-alt-white.webp,https://www.maisonizem.com/products/manara-sconce.webp
minbar-sconce,"Minbar Architectural Brass Wall Sconce — Stepped Facade","Minbar is the pulpit of the mosque. Architectural sconce with a stepped brass façade and a recessed lamp behind it. Reads as wall sculpture. Hand-hammered brass with lacquered finish. 9in wide, 14in tall, 7in deep.",625.00,4,i_did,made_to_order,false,"Home & Living > Lighting > Wall Lights > Wall Sconces",Sconces,"moroccan sconce,brass sconce,wall sconce,architectural sconce,stepped facade,handmade sconce,moroccan lighting,bohemian sconce,artisan lighting,maison izem,marrakech,wall light,wall sculpture","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/minbar-sconce-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/minbar-sconce-etsy-1x1.webp,https://www.maisonizem.com/products/scale/minbar-sconce-scale.webp,https://www.maisonizem.com/products/lit/minbar-sconce-lit.webp,https://www.maisonizem.com/products/macro/minbar-sconce-macro.webp,https://www.maisonizem.com/products/alt-white/minbar-sconce-alt-white.webp,https://www.maisonizem.com/products/minbar-sconce.webp
fanar-lantern,"Fanar Brass-and-Glass Moroccan Lantern — Pierced Crown","Fanar means lighthouse. Pierced brass crown over hand-blown clear glass panels. Hangs by chain, also stands on a console. Hand-hammered brass with hand-blown glass. 8in diameter, 18in tall.",345.00,6,i_did,made_to_order,false,"Home & Living > Home Decor > Lanterns & Candle Holders",Lanterns,"moroccan lantern,brass lantern,glass lantern,pierced brass,handmade lantern,moroccan lighting,candle lantern,bohemian lantern,artisan lighting,maison izem,marrakech,hanging lantern,decorative lantern","Hand-hammered brass,Hand-blown glass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/fanar-lantern-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/fanar-lantern-etsy-1x1.webp,https://www.maisonizem.com/products/scale/fanar-lantern-scale.webp,https://www.maisonizem.com/products/lit/fanar-lantern-lit.webp,https://www.maisonizem.com/products/macro/fanar-lantern-macro.webp,https://www.maisonizem.com/products/alt-white/fanar-lantern-alt-white.webp,https://www.maisonizem.com/products/fanar-lantern.webp
mishbah-lantern,"Mishbah Small Brass-and-Glass Lantern — Console Scale","Mishbah is the lamp lit before dawn. Smaller scale, glass-paneled, brass armature. For a console or a low table beside a window. Hand-hammered brass with hand-blown glass. 7in diameter, 15in tall.",295.00,8,i_did,made_to_order,false,"Home & Living > Home Decor > Lanterns & Candle Holders",Lanterns,"moroccan lantern,brass lantern,glass lantern,small lantern,handmade lantern,moroccan lighting,candle lantern,bohemian lantern,artisan lighting,maison izem,marrakech,console lantern,decorative lantern","Hand-hammered brass,Hand-blown glass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/mishbah-lantern-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/mishbah-lantern-etsy-1x1.webp,https://www.maisonizem.com/products/scale/mishbah-lantern-scale.webp,https://www.maisonizem.com/products/lit/mishbah-lantern-lit.webp,https://www.maisonizem.com/products/macro/mishbah-lantern-macro.webp,https://www.maisonizem.com/products/alt-white/mishbah-lantern-alt-white.webp,https://www.maisonizem.com/products/mishbah-lantern.webp
mishaal-lantern,"Mishaal Torch Hexagonal Brass Lantern — Filigree Crown","Mishaal is the torch carried at the head of a procession. Tall hexagonal lantern with hand-cut filigree at the crown. Hand-hammered brass with hand-blown glass. 7in diameter, 20in tall.",385.00,5,i_did,made_to_order,false,"Home & Living > Home Decor > Lanterns & Candle Holders",Lanterns,"moroccan lantern,brass lantern,glass lantern,hexagonal lantern,filigree,handmade lantern,moroccan lighting,candle lantern,bohemian lantern,artisan lighting,maison izem,marrakech,tall lantern","Hand-hammered brass,Hand-blown glass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/mishaal-lantern-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/mishaal-lantern-etsy-1x1.webp,https://www.maisonizem.com/products/scale/mishaal-lantern-scale.webp,https://www.maisonizem.com/products/lit/mishaal-lantern-lit.webp,https://www.maisonizem.com/products/macro/mishaal-lantern-macro.webp,https://www.maisonizem.com/products/alt-white/mishaal-lantern-alt-white.webp,
tabaq-plate,"Tabaq Brass Wall Medallion — Densely Chiseled Disk","Tabaq is the platter that holds the meal. Densely chiseled brass disk, raised concentric ring at the center. Reads as wall sculpture. Chiseled brass with lacquered finish. 18in diameter, 1.5in deep.",580.00,3,i_did,made_to_order,false,"Home & Living > Home Decor > Wall Decor > Wall Hangings",Wall Decor,"moroccan wall art,brass wall medallion,chiseled brass,wall hanging,handmade decor,moroccan decor,artisan brass,wall sculpture,bohemian wall,maison izem,marrakech,large wall art,brass plate","Chiseled brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/tabaq-plate-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/tabaq-plate-etsy-1x1.webp,https://www.maisonizem.com/products/scale/tabaq-plate-scale.webp,,https://www.maisonizem.com/products/macro/tabaq-plate-macro.webp,https://www.maisonizem.com/products/alt-white/tabaq-plate-alt-white.webp,https://www.maisonizem.com/products/tabaq-plate.webp
khatam-plate,"Khatam Brass Wall Medallion — Eight-Point Seal","Khatam means the seal. Eight-point star at the center within concentric chiseled rings. Hung above a console or a bed. Chiseled brass with lacquered finish. 16in diameter, 1.25in deep.",480.00,4,i_did,made_to_order,false,"Home & Living > Home Decor > Wall Decor > Wall Hangings",Wall Decor,"moroccan wall art,brass wall medallion,chiseled brass,wall hanging,eight point star,handmade decor,moroccan decor,artisan brass,wall sculpture,bohemian wall,maison izem,marrakech,brass plate","Chiseled brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/khatam-plate-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/khatam-plate-etsy-1x1.webp,https://www.maisonizem.com/products/scale/khatam-plate-scale.webp,,https://www.maisonizem.com/products/macro/khatam-plate-macro.webp,https://www.maisonizem.com/products/alt-white/khatam-plate-alt-white.webp,https://www.maisonizem.com/products/khatam-plate.webp
shams-plate,"Shams Brass Wall Medallion — Radiating Sun Pattern","Shams means the sun. Radiating chisel-cut ray pattern from a recessed center boss. Catches every direction of light. Chiseled brass with lacquered finish. 17in diameter, 1.25in deep.",520.00,3,i_did,made_to_order,false,"Home & Living > Home Decor > Wall Decor > Wall Hangings",Wall Decor,"moroccan wall art,brass wall medallion,sun pattern,chiseled brass,wall hanging,handmade decor,moroccan decor,artisan brass,wall sculpture,bohemian wall,maison izem,marrakech,brass plate","Chiseled brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/shams-plate-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/shams-plate-etsy-1x1.webp,https://www.maisonizem.com/products/scale/shams-plate-scale.webp,,https://www.maisonizem.com/products/macro/shams-plate-macro.webp,https://www.maisonizem.com/products/alt-white/shams-plate-alt-white.webp,https://www.maisonizem.com/products/shams-plate.webp
riad-plate,"Riad Brass Wall Medallion — Quartered Geometric","Riad is the courtyard at the heart of the house. Quartered geometric pattern around a central rosette. The smaller of the medallions. Chiseled brass with lacquered finish. 14in diameter, 1.25in deep.",420.00,5,i_did,made_to_order,false,"Home & Living > Home Decor > Wall Decor > Wall Hangings",Wall Decor,"moroccan wall art,brass wall medallion,chiseled brass,wall hanging,geometric pattern,handmade decor,moroccan decor,artisan brass,wall sculpture,bohemian wall,maison izem,marrakech,small wall art","Chiseled brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/riad-plate-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/riad-plate-etsy-1x1.webp,https://www.maisonizem.com/products/scale/riad-plate-scale.webp,,https://www.maisonizem.com/products/macro/riad-plate-macro.webp,https://www.maisonizem.com/products/alt-white/riad-plate-alt-white.webp,https://www.maisonizem.com/products/riad-plate.webp
tarsi-plate,"Tarsi Brass-and-Copper Wall Medallion — Inlay Register","Tarsi is the inlay technique. Mixed copper-and-brass field arranged in concentric pinstripes around a chiseled core. Brass and copper with lacquered finish. 15in diameter, 1.25in deep.",390.00,4,i_did,made_to_order,false,"Home & Living > Home Decor > Wall Decor > Wall Hangings",Wall Decor,"moroccan wall art,brass copper medallion,chiseled brass,inlay,wall hanging,handmade decor,moroccan decor,artisan brass,wall sculpture,bohemian wall,maison izem,marrakech,mixed metal","Brass,Copper,Lacquered finish",https://www.maisonizem.com/products/pdp-white/tarsi-plate-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/tarsi-plate-etsy-1x1.webp,https://www.maisonizem.com/products/scale/tarsi-plate-scale.webp,,https://www.maisonizem.com/products/macro/tarsi-plate-macro.webp,https://www.maisonizem.com/products/alt-white/tarsi-plate-alt-white.webp,https://www.maisonizem.com/products/tarsi-plate.webp
jarra-vessel,"Jarra Tall Hammered Brass Urn — Narrow Neck","Tall brass urn, narrow neck, broad shoulder. Jarra is the household jar. Hammered finish, deep tonal range from gold to bronze. Hand-hammered brass with lacquered finish. 10in diameter, 18in tall.",620.00,3,i_did,made_to_order,false,"Home & Living > Home Decor > Vases",Vessels,"moroccan urn,brass urn,hammered brass,decorative vase,handmade vessel,moroccan decor,artisan brass,bohemian decor,maison izem,marrakech,tall vase,floor vase,brass vessel","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/jarra-vessel-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/jarra-vessel-etsy-1x1.webp,https://www.maisonizem.com/products/scale/jarra-vessel-scale.webp,,https://www.maisonizem.com/products/macro/jarra-vessel-macro.webp,https://www.maisonizem.com/products/alt-white/jarra-vessel-alt-white.webp,https://www.maisonizem.com/products/jarra-vessel.webp
sandouq-vessel,"Sandouq Engraved Brass Chest — Hand-Engraved Panels","Brass-clad chest with hand-engraved geometric panels. Sandouq is the wedding chest. Lifts on a hidden hinge. Brass over hardwood core, engraved. 16in wide, 10in tall, 10in deep.",880.00,2,i_did,made_to_order,false,"Home & Living > Home Decor > Decorative Boxes & Bins",Vessels,"moroccan chest,brass chest,engraved brass,wedding chest,handmade chest,moroccan decor,artisan brass,bohemian decor,maison izem,marrakech,decorative box,jewelry chest,storage chest","Brass,Hardwood core,Engraved",https://www.maisonizem.com/products/pdp-white/sandouq-vessel-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/sandouq-vessel-etsy-1x1.webp,https://www.maisonizem.com/products/scale/sandouq-vessel-scale.webp,,https://www.maisonizem.com/products/macro/sandouq-vessel-macro.webp,https://www.maisonizem.com/products/alt-white/sandouq-vessel-alt-white.webp,https://www.maisonizem.com/products/sandouq-vessel.webp
kasr-vessel,"Kasr Wide-Mouthed Brass Vessel — Chiseled Architectural Band","Kasr means palace. Wide-mouthed brass vessel with chiseled architectural register around the body. Useful or decorative. Hand-hammered brass with lacquered finish. 11in diameter, 9in tall.",480.00,4,i_did,made_to_order,false,"Home & Living > Home Decor > Vases",Vessels,"moroccan vessel,brass vessel,chiseled brass,decorative vase,handmade vessel,moroccan decor,artisan brass,bohemian decor,maison izem,marrakech,wide bowl,large vessel,brass bowl","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/kasr-vessel-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/kasr-vessel-etsy-1x1.webp,https://www.maisonizem.com/products/scale/kasr-vessel-scale.webp,,https://www.maisonizem.com/products/macro/kasr-vessel-macro.webp,https://www.maisonizem.com/products/alt-white/kasr-vessel-alt-white.webp,https://www.maisonizem.com/products/kasr-vessel.webp
ibriq-vessel,"Ibriq Copper-and-Brass Tea Pitcher — Hand-Raised","Copper body, brass spout, brass handle. Ibriq is the household tea kettle. Functional; also reads as table sculpture. Hand-raised copper with brass. 6in diameter, 10in tall.",295.00,8,i_did,made_to_order,false,"Home & Living > Kitchen & Dining > Tableware > Pitchers",Vessels,"moroccan teapot,copper teapot,brass spout,hand-raised copper,tea pitcher,handmade vessel,moroccan decor,artisan copper,bohemian decor,maison izem,marrakech,tea service,copper kettle","Hand-raised copper,Brass",https://www.maisonizem.com/products/pdp-white/ibriq-vessel-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/ibriq-vessel-etsy-1x1.webp,https://www.maisonizem.com/products/scale/ibriq-vessel-scale.webp,,https://www.maisonizem.com/products/macro/ibriq-vessel-macro.webp,https://www.maisonizem.com/products/alt-white/ibriq-vessel-alt-white.webp,https://www.maisonizem.com/products/ibriq-vessel.webp
tazza-vessel,"Tazza Footed Brass Tray — Turned Pedestal","Footed brass tray on a turned pedestal. Tazza is the offering bowl. Serves olives, holds a candle, lives on a console. Hand-hammered brass with lacquered finish. 10in diameter, 5in tall.",385.00,5,i_did,made_to_order,false,"Home & Living > Home Decor > Decorative Trays",Vessels,"moroccan tray,brass tray,footed tray,pedestal tray,handmade vessel,moroccan decor,artisan brass,bohemian decor,maison izem,marrakech,serving tray,decorative tray,offering bowl","Hand-hammered brass,Lacquered finish",https://www.maisonizem.com/products/pdp-white/tazza-vessel-pdp-white.webp,https://www.maisonizem.com/products/etsy-1x1/tazza-vessel-etsy-1x1.webp,https://www.maisonizem.com/products/scale/tazza-vessel-scale.webp,,https://www.maisonizem.com/products/macro/tazza-vessel-macro.webp,https://www.maisonizem.com/products/alt-white/tazza-vessel-alt-white.webp,https://www.maisonizem.com/products/tazza-vessel.webp
